field,id,ra,dec,zphot,uv_mag
primer-uds-north,18804,34.363515044768505,-5.176963791951121,4.317291259765625,26.611800841389936
primer-uds-north,22773,34.43898594228325,-5.170543086397919,4.40127420425415,26.994090115622733
primer-uds-north,24100,34.44288277802616,-5.168180429149539,4.991886138916016,26.96975269023944
primer-uds-north,32237,34.41985984195683,-5.154215136324553,4.612168312072754,26.92451967375708
primer-uds-north,33332,34.404984092098026,-5.152606688880327,4.541976451873779,26.81598910493878
primer-uds-north,57469,34.43021892134757,-5.113188391459482,5.667973041534424,26.465230239357158
primer-cosmos-east,6282,150.14915417262176,2.1839552062959657,5.673777103424072,26.510814369523196
primer-cosmos-east,9227,150.12492421630216,2.214572200483446,5.713857173919678,25.76827134296691
primer-cosmos-east,27072,150.20508952388434,2.3169437028962645,4.957128047943115,19.987033888206117
primer-cosmos-east,31770,150.17577901959814,2.3387875925965056,5.779069900512695,26.52817999557537
primer-cosmos-east,32928,150.14445146027904,2.3443942646772653,4.458100318908691,26.153661472323773
primer-cosmos-east,42464,150.1701806639219,2.388389880603334,5.367482662200928,26.204308348242883
primer-cosmos-east,50988,150.17594858416723,2.4324329415506116,4.526494026184082,26.3939100957931
primer-cosmos-east,51514,150.13169869017457,2.435682049752244,4.436739921569824,26.277371257357977
primer-cosmos-east,51855,150.1732889705725,2.4376768935478195,4.651200771331787,26.217465572139503
primer-cosmos-east,52124,150.20165715786538,2.439373074527328,4.833804130554199,26.970849779295143
primer-uds-south,4620,34.46652983278183,-5.310307993570016,5.7462944984436035,26.96136858048944
primer-uds-south,11501,34.42092682322444,-5.296163912928651,4.679971694946289,25.85661535441458
primer-uds-south,17986,34.366903086588984,-5.28418784780142,4.9401140213012695,26.331962088146824
primer-uds-south,33445,34.29753202893787,-5.257188779490052,4.345759868621826,26.54613233439017
primer-uds-south,37557,34.42231096893665,-5.250702720659581,5.655717849731445,26.42104557910357
primer-uds-south,45637,34.34400293702269,-5.236179141373149,4.536287307739258,26.35088976928484
primer-uds-south,47509,34.26460314475026,-5.232585427484487,5.659402847290039,26.70603608157033
primer-uds-south,55634,34.37214013256284,-5.217964106077201,6.879805088043213,26.352629831537367
primer-uds-south,55783,34.270711521139155,-5.2176792889822154,4.626031398773193,26.771116294478535
primer-uds-south,57494,34.36877729836944,-5.214285317247173,4.023993492126465,25.536548474646665
ceers-full,55490,214.9830263067039,52.956001247852484,7.1493306159973145,26.903793575797874
ceers-full,67137,214.88868638451572,52.91541323485833,7.496461391448975,25.90672811686351
ceers-full,72633,214.81767928550417,52.87785983915585,5.443395614624023,26.540735132546033
primer-cosmos-west,13074,150.07167339071867,2.200406394279048,5.214783191680908,26.270571802042966
primer-cosmos-west,16152,150.12492421255888,2.21457222007294,5.714365482330322,25.771259368546204
primer-cosmos-west,22702,150.06375987090527,2.2468025541453227,5.431190490722656,26.86080342354545
primer-cosmos-west,31319,150.05536979441715,2.2915888796288457,6.333873748779297,26.11629410395417
primer-cosmos-west,32535,150.07197125377567,2.297260415195796,5.749178409576416,25.926426188128335
primer-cosmos-west,42656,150.07778985191382,2.3503723579227365,5.685393333435059,26.580258215122043
primer-cosmos-west,47165,150.07423597385812,2.373887226537977,5.2337646484375,26.622497036487367
primer-cosmos-west,55716,150.1316986670536,2.4356820832503256,4.438319206237793,26.271383447523142
gds,14605,53.10604518883795,-27.84821941904518,6.928058624267578,26.5396779381301
gds,18537,53.116682410199424,-27.839793141044453,4.277338027954102,26.71296326570925
gds,22388,53.16180031300524,-27.831614170842723,7.181869983673096,24.071063616664695
gds,32147,53.067675811963305,-27.812326920318203,4.603240966796875,25.962227556742224
