pid,srcid,ra,dec,zspec,lya_flux,lya_noise
6368,4771,150.1610287,2.4658044,5.92735,0.003235720988753983,0.0002877822050218896
6368,10108,214.7975318,52.818752,6.6230583,0.009158698039649754,0.0003989433628987433
6368,23419,34.47110735198,-5.19045542709,5.5160136,0.0024885212340788085,0.000371545892576319
2198,12577,53.04845483406177,-27.815140914271183,5.2363167,0.001401563050308855,0.0003669920609001309
1215,4994,34.47112874024486,-5.1904328793177115,5.5147057,0.003891711423368316,0.0006498526416096647
1215,4446,34.27071179140419,-5.217670537157232,4.68347,0.0046676461365069,0.0003049789562554018
1181,39353,189.2939522,62.1530911,4.8533993,0.0015392454375367675,0.0004004763030424835
1181,73488,189.1973959,62.1772331,4.130943,0.006091928062085828,0.00022329889699694306
1181,39353,189.2939522,62.1530911,4.85197,0.0030193852707946023,0.0004110964143479055
1286,204851,53.1385932,-27.790253399999987,5.485453,0.0018773791927196725,0.0003688233222876261
1286,159717,53.0975283,-27.90126029999999,5.074387,0.0006192968205515439,0.00018789885812292418
1433,1045,101.933406,70.198268,4.5276384,0.002459158545390361,0.0003038487278626934
5224,233464,150.0716706,2.2004085,5.10237,0.0011031579870692644,0.0003118332830344965
5224,279078,150.0828163,2.2777263,5.38006,0.001152272395335665,0.00019705467526412253
5224,292585,150.0719633,2.2972652,4.38371,0.0015067493743134667,0.0001499096853635795
5224,347410,150.0729041,2.3236212,6.04049,0.003250732538051919,0.0003798093867869817
5224,312568,150.1058493,2.4468234,4.9161,0.0004779129925966854,0.00013551617226830853
5224,920396,34.2478277,-5.1519963,7.09758,0.0010697406105235742,0.0002600988557039677
5105,10835,268.4376747,65.1674849,4.65012,0.002346328404406713,0.0007643355724052226
5105,10868,268.4410301,65.167627,4.38856,0.003149706732061658,0.0006102041883304844
4233,172350,34.36895117186,-5.10394147458,5.5864534,0.0031378985201101807,0.0005861174373019326
4233,53692,34.45537626542,-5.23181398278,5.2792883,0.002626454051024442,0.0006161096549180199
2767,11024,322.4163338,0.0981286,4.2948875,0.012068669913971701,0.0013277441625672672
2561,21547,3.55083777507,-30.40659782568,5.0578914,0.0034145131953098335,0.000247468519309522
2561,24175,3.57983163662,-30.40156918527,7.0356536,0.0027028095365389544,0.0002693898526208431
2561,13123,3.5798285586361156,-30.40156942018814,7.0370483,0.0035297871561185456,0.00015526797833197495
2561,15383,3.5835345523876256,-30.39667857268421,7.037048,0.00354854865412822,0.0001940710682485859
2561,16594,3.5972026964921247,-30.394328688267255,7.0346375,0.0011322032830051883,0.00023471759128097035
2561,20466,3.6404083925047726,-30.386437606203685,8.509481,0.004045727212345504,0.0005265261918280876
2561,38108,3.530008614510292,-30.35801311552825,4.968462,0.0005183732251702767,0.0001688911823654095
2561,4286,3.619201005497743,-30.423270342647697,5.8352246,0.0029634916284368516,0.00028599447473336875
5105,25191,268.3795708,65.2023333,5.167,0.005765563441268487,0.0008713959947342515
