field,srcid,ra,dec,zphot,uv_mag,beta_UV,beta_UV_err,beta_opt,beta_opt_err
primer-uds-north,57469,34.43021892134757,-5.113188391459482,5.667973041534424,26.465230239357158,-2.1362712581356025,0.06367288444814996,-0.691237505723667,0.6409191368856805
primer-cosmos-east,9227,150.12492421630216,2.214572200483446,5.713857173919678,25.76827134296691,-1.8959819631513721,0.12189491363613406,-1.8442097346381952,1.62534120158558
primer-cosmos-east,27072,150.20508952388434,2.3169437028962645,4.957128047943115,19.987033888206117,4.105902578421453,0.9317016875577792,-99.0,-99.0
primer-cosmos-east,32928,150.14445146027904,2.3443942646772653,4.458100318908691,26.153661472323773,-2.185519750303297,0.10299795236464081,-99.0,-99.0
primer-cosmos-east,42464,150.1701806639219,2.388389880603334,5.367482662200928,26.204308348242883,-1.5605965392552377,0.13040087526442357,0.5066087949874141,3.0235948367058656
primer-cosmos-east,50988,150.17594858416723,2.4324329415506116,4.526494026184082,26.3939100957931,-1.5393026270876966,0.1406133864772079,-99.0,-99.0
primer-cosmos-east,51514,150.13169869017457,2.435682049752244,4.436739921569824,26.277371257357977,-2.1069340674641333,0.06254064387075234,0.47454778212700655,0.10644727839938237
primer-cosmos-east,51855,150.1732889705725,2.4376768935478195,4.651200771331787,26.217465572139503,-1.6026153093905386,0.1671080447712812,-99.0,-99.0
primer-uds-south,11501,34.42092682322444,-5.296163912928651,4.679971694946289,25.85661535441458,-2.335513986478855,0.061114583509629596,-99.0,-99.0
primer-uds-south,17986,34.366903086588984,-5.28418784780142,4.9401140213012695,26.331962088146824,-1.0353321206928725,0.04296446957926988,-0.18702070596082931,1.094534759654596
primer-uds-south,37557,34.42231096893665,-5.250702720659581,5.655717849731445,26.42104557910357,-2.033326609841964,0.1477020238048243,1.110504854338004,0.46668039620097845
primer-uds-south,45637,34.34400293702269,-5.236179141373149,4.536287307739258,26.35088976928484,-1.5525798993115467,0.05899775814702334,-99.0,-99.0
primer-uds-south,55634,34.37214013256284,-5.217964106077201,6.879805088043213,26.352629831537367,-1.4850891499725503,0.03130804756244211,-1.291576326981749,1.6555095621514948
primer-uds-south,57494,34.36877729836944,-5.214285317247173,4.023993492126465,25.536548474646665,-1.8858074147619077,0.08758368163463706,-99.0,-99.0
ceers-full,67137,214.88868638451572,52.91541323485833,7.496461391448975,25.90672811686351,-1.8700867559952268,0.09145337657838375,-99.0,-99.0
primer-cosmos-west,13074,150.07167339071867,2.200406394279048,5.214783191680908,26.270571802042966,-2.1403497248721126,0.09583195591155165,1.6740030482199448,1.2546249282941182
primer-cosmos-west,16152,150.12492421255888,2.21457222007294,5.714365482330322,25.771259368546204,-1.8887412310957425,0.12145096219687926,-1.8488788598042694,1.6232566132763495
primer-cosmos-west,31319,150.05536979441715,2.2915888796288457,6.333873748779297,26.11629410395417,-1.9202833039601255,0.13613226123105238,-0.508637416315626,0.5745532978645663
primer-cosmos-west,32535,150.07197125377567,2.297260415195796,5.749178409576416,25.926426188128335,-1.9854160314980467,0.3746548715885051,-1.2734599927818557,0.907790392941679
primer-cosmos-west,55716,150.1316986670536,2.4356820832503256,4.438319206237793,26.271383447523142,-2.1153699547251663,0.06368260469895105,0.4777791005465484,0.10027373934110108
gds,22388,53.16180031300524,-27.831614170842723,7.181869983673096,24.071063616664695,-2.2124395699792037,0.2571126614690525,0.018344381033797763,3.7899588054613207
gds,32147,53.067675811963305,-27.812326920318203,4.603240966796875,25.962227556742224,-2.04930914714333,0.04128343939679478,0.4373421267456781,0.004935572592812694
