id,ra,dec,zphot,uv_mag
15961,149.8159992245872,2.3072822380804148,6.413034422831618,26.814525988935642
46758,149.9786842775334,2.1262843983828583,5.243050878806188,26.93431016457932
74963,149.9863706502487,2.1504971668297004,5.009485539700017,26.87742120122572
100652,150.15355952685988,2.1017950219330856,4.527304691473004,26.936120743458677
134415,150.21872911407937,1.9739602775601803,6.110364310485393,26.96461922757663
149167,150.26738091096306,2.0916245243079588,5.457233220976054,26.685280695658527
194756,150.39992319622112,2.0298219077595627,6.915830715554307,26.465944808512035
332161,150.0622708356074,1.88093174994562,5.473872225561951,26.417978550260834
339269,150.02158921662263,1.9697791684918708,5.875866933392656,26.94717770782394
342331,150.01056806114792,2.0066143676536834,6.282895456882597,26.91087419805491
385126,150.16994333142452,1.8710550690403558,6.769900957420927,26.462867882005924
426729,150.22613598493527,1.7987218459360257,4.881707420810498,26.98576234975145
471589,150.00357503142877,2.505849520969477,9.325314740775038,26.39130563174987
524291,150.14942590764315,2.559841913870109,5.583700826906933,26.693221441590794
563588,150.20176495178055,2.481388294168846,6.568627989962449,26.6661354890673
614804,150.44255759662545,2.465391489860143,5.68628081046219,25.918471418072
617623,150.35163758354435,2.5209761810095928,7.25919447023959,26.590543631862513
653082,150.4413865620105,2.363196481406006,9.435898585961247,25.462903472861758
661710,150.55481485360067,2.417570624242752,8.895283230943035,26.83805626735543
709415,149.9514409465456,2.4487657814829102,8.808197443927014,26.381712283946765
746863,150.07801879425787,2.277619300955742,5.608021817700579,26.704395904573893
758452,150.05864095387312,2.399338820928772,5.8051488247972864,25.88450601902613
758982,150.05367841556858,2.4057793772264064,5.081849698889865,26.630432466411687
803070,150.17577541842383,2.3387884975743596,5.61458017886094,26.72898878468143
845096,150.29048171299948,2.253738192295718,5.22164835882019,26.072429876014333
881707,150.3647376907233,2.11291096980729,6.298993806257772,26.35796487347586
