pid,srcid,ra,dec,zspec,uv_mag
6368,9226,150.175938,2.4324301,3.7241027,26.80890829889909
6368,23419,34.47110735198,-5.19045542709,5.5160136,26.95499412747155
6585,58018,150.1444426,2.344392782,3.9262767,26.447453422854018
1215,4446,34.27071179140419,-5.217670537157232,4.68347,26.928950817511648
5224,233464,150.0716706,2.2004085,5.10237,26.780929813527017
5224,149501,34.38671301108,-5.13610751332,3.9659977,26.9993089995015
5105,23192,268.522548,65.2626446,4.52104729497047,26.910626353337193
5105,20152,268.5259513,65.2276967,2.86932,26.20570326198941
4233,55604,214.98302557432,52.956001297,6.988607,26.81455671127052
4233,11917,34.2682663,-5.295207800000014,2.5857115,26.939729751534813
4233,167741,34.33460340027,-5.11026931524,4.1157036,26.816714711284884
2767,11024,322.4163338,0.0981286,4.2948875,26.453082416173988
2561,58453,3.58475838636,-30.34362893587,4.471244,26.178268931116303
2561,45924,3.5847600654669716,-30.34362752753509,4.463361263885918,26.272519669311833
