  2.90917662e+02,  3.21208787e+02,  3.71902938e+02,  4.32058771e+02,  5.19768651e+02,  1.09326007e+03,  3.41134014e+02,  3.36937487e+02,  3.98836506e+02,  4.64112754e+02,  5.29899974e+02,  7.75541325e+02
  3.21208787e+02,  3.64456594e+02,  4.29193181e+02,  5.05285491e+02,  6.13127330e+02,  1.31603753e+03,  3.60059383e+02,  3.68471408e+02,  4.49907392e+02,  5.34624647e+02,  6.19653273e+02,  9.21052416e+02
  3.71902938e+02,  4.29193181e+02,  5.11812428e+02,  6.09021769e+02,  7.44379016e+02,  1.62780114e+03,  4.08275866e+02,  4.25455700e+02,  5.28731344e+02,  6.37354374e+02,  7.47350587e+02,  1.12544129e+03
  4.32058771e+02,  5.05285491e+02,  6.09021769e+02,  7.31752859e+02,  9.00366140e+02,  2.00524131e+03,  4.67024712e+02,  4.93487048e+02,  6.21643197e+02,  7.58483791e+02,  8.98687017e+02,  1.36996515e+03
  5.19768651e+02,  6.13127330e+02,  7.44379016e+02,  9.00366140e+02,  1.11301478e+03,  2.51093953e+03,  5.56305852e+02,  5.93265077e+02,  7.53977648e+02,  9.27474300e+02,  1.10673613e+03,  1.70148848e+03
  1.09326007e+03,  1.31603753e+03,  1.62780114e+03,  2.00524131e+03,  2.51093953e+03,  5.87987938e+03,  1.14276736e+03,  1.24677323e+03,  1.61823166e+03,  2.03273884e+03,  2.47221236e+03,  3.89237185e+03
  3.41134014e+02,  3.60059383e+02,  4.08275866e+02,  4.67024712e+02,  5.56305852e+02,  1.14276736e+03,  4.53724735e+02,  4.11576285e+02,  4.59092722e+02,  5.16805360e+02,  5.76687081e+02,  8.29013318e+02
  3.36937487e+02,  3.68471408e+02,  4.25455700e+02,  4.93487048e+02,  5.93265077e+02,  1.24677323e+03,  4.11576285e+02,  3.96492359e+02,  4.63196470e+02,  5.35403522e+02,  6.08173152e+02,  8.89106217e+02
  3.98836506e+02,  4.49907392e+02,  5.28731344e+02,  6.21643197e+02,  7.53977648e+02,  1.61823166e+03,  4.59092722e+02,  4.63196470e+02,  5.62342833e+02,  6.65130548e+02,  7.66945350e+02,  1.13937285e+03
  4.64112754e+02,  5.34624647e+02,  6.37354374e+02,  7.58483791e+02,  9.27474300e+02,  2.03273884e+03,  5.16805360e+02,  5.35403522e+02,  6.65130548e+02,  8.00487287e+02,  9.35790094e+02,  1.41080242e+03
  5.29899974e+02,  6.19653273e+02,  7.47350587e+02,  8.98687017e+02,  1.10673613e+03,  2.47221236e+03,  5.76687081e+02,  6.08173152e+02,  7.66945350e+02,  9.35790094e+02,  1.10762202e+03,  1.69133640e+03
  7.75541325e+02,  9.21052416e+02,  1.12544129e+03,  1.36996515e+03,  1.70148848e+03,  3.89237185e+03,  8.29013318e+02,  8.89106217e+02,  1.13937285e+03,  1.41080242e+03,  1.69133640e+03,  2.62320536e+03
